id,nom_estab,entidad,municipio,localidad
6166374,"UPP EJIDAL AJUSCO, S.P.R. DE RL",BAJA CALIFORNIA,Ensenada,Ensenada
6166494,UPP MAVADU S.P.R. DE RL,BAJA CALIFORNIA,Mexicali,San Felipe
6166475,UPP PESCADORES RIBEREÑOS DE BAJA CALIFORNIA S.P.R. DE RL,BAJA CALIFORNIA,Playas de Rosarito,Popotla
6166513,UPR DE LAS COSTAS DEL ESTADO DE BC SRL,BAJA CALIFORNIA,Ensenada,La Salina
6166365,UUP MANCHURA SPPR,BAJA CALIFORNIA,Ensenada,Ensenada
6166428,"VIDAURRAZAGA AGUILAR, S.P.R. DE RL",BAJA CALIFORNIA,Ensenada,Venustiano Carranza (Santa María)
6166801,ACUACULTURA MAHR,BAJA CALIFORNIA SUR,La Paz,La Paz
6166922,ACUACULTURA MAHR,BAJA CALIFORNIA SUR,La Paz,Puerto de Pichilingue
6167136,ACUACULTURA ROBLES S.P.R. DE R.I.,BAJA CALIFORNIA SUR,La Paz,Playa el Tecolote
6786703,ACUAPONÍA,BAJA CALIFORNIA SUR,Los Cabos,Caduaño
6166603,ACUÍCOLA DEL PACIFICO S.A. DE C.V.,BAJA CALIFORNIA SUR,Mulegé,Bahía Tortugas
6166778,"ACUÍCOLA Y TURISICA LAS TRES REINAS, S.C. DE RL",BAJA CALIFORNIA SUR,La Paz,La Paz
6166892,BEATRIZ,BAJA CALIFORNIA SUR,La Paz,El Pardito
6808230,BLUE GENETICS MÉXICO,BAJA CALIFORNIA SUR,La Paz,Puerto de Pichilingue
6166799,"BOCA DEL ALAMO, S.P.R. DE RL",BAJA CALIFORNIA SUR,La Paz,Boca del Álamo
6167132,CANDELARIO ARCE FIGUEROA,BAJA CALIFORNIA SUR,Mulegé,Bahía Tortugas
6787229,CAROLINA PRODUCE S DE RL DE CV,BAJA CALIFORNIA SUR,La Paz,El Carrizal
6167009,CATARINO LOPEZ ACEVEDO,BAJA CALIFORNIA SUR,Comondú,Puerto San Carlos
6166611,CONCEPCIÓN VALLE S.A. DE C.V.,BAJA CALIFORNIA SUR,Mulegé,Heroica Mulegé
6167142,COOP MANGLE CENIZO,BAJA CALIFORNIA SUR,La Paz,La Paz
6167101,COOP PESQ Y SERVICIO TUR BLANKISCAL,BAJA CALIFORNIA SUR,Comondú,Puerto San Carlos
6166779,COOPERATIVA LEONES DE LA VENTANA 2008,BAJA CALIFORNIA SUR,La Paz,La Ventana
6166668,"CPP ALVAREZ, S.C. DE RL",BAJA CALIFORNIA SUR,Comondú,Ciudad Insurgentes
159093,CRIBADORA ESCALANTE,BAJA CALIFORNIA SUR,Comondú,Ciudad Constitución
159088,CRIBADORA SOLIS,BAJA CALIFORNIA SUR,Comondú,Ciudad Constitución
6167023,CULTIVOS TECNICOS DEL MAR SUDCALIFORNIANO,BAJA CALIFORNIA SUR,La Paz,Rancho Bueno
6166793,DANA,BAJA CALIFORNIA SUR,La Paz,Agua Amarga
6811645,EARTH OCEAN FARMS,BAJA CALIFORNIA SUR,La Paz,Puerto de Pichilingue
6166584,EDUERDO MURILLO PERALTA,BAJA CALIFORNIA SUR,Mulegé,Heroica Mulegé
6167164,"EL CAMARON SUREÑO S DE PR, DE R.L.",BAJA CALIFORNIA SUR,La Paz,La Paz
6166526,"EL SALADITO DE LA BAHIA, S.C. DE RL",BAJA CALIFORNIA SUR,La Paz,El Saladito
6166792,ELIZABETH,BAJA CALIFORNIA SUR,La Paz,Agua Amarga
6484905,"EMPACADORA GREEN PARADISE, S. DE R.L. DE C.V.",BAJA CALIFORNIA SUR,La Paz,El Pescadero
6803965,EMPAQUE N.1 S DE R L DE CV,BAJA CALIFORNIA SUR,Comondú,Ciudad Constitución
6166658,"FRANIA JANEXI S.C. DE RL, DE C.V.",BAJA CALIFORNIA SUR,Comondú,Puerto Adolfo López Mateos
6166574,GILBRTO LOPEZ MARTINEZ,BAJA CALIFORNIA SUR,Mulegé,Santa Rosalía
6167135,GRANJAS MARINAS DE SINALOA,BAJA CALIFORNIA SUR,La Paz,La Paz
178415,GRICELDA´S SMOKENHOUSE,BAJA CALIFORNIA SUR,Los Cabos,Cabo San Lucas
6166563,GULMARO REYES CRUZ,BAJA CALIFORNIA SUR,Mulegé,Santa Rosalía
6480202,INVERNADEROS Y MALLASOMBRAS DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,La Paz,La Paz
6166662,"LA VOCA DE LA SOLEDAD, S.C. DE RL",BAJA CALIFORNIA SUR,Comondú,Puerto Adolfo López Mateos
6166805,"LARVAS GRAN MAR, S.A. DE C.V.",BAJA CALIFORNIA SUR,La Paz,La Paz
6166606,LORETO MEZA GUTIERREZ,BAJA CALIFORNIA SUR,Mulegé,Heroica Mulegé
6166807,LOS PINOLILLOS DE LOS CABOS,BAJA CALIFORNIA SUR,Los Cabos,Cabo San Lucas
6166794,LUCIANO 8,BAJA CALIFORNIA SUR,La Paz,Agua Amarga
6167151,MAGDALENO CORTEZ DE LA CRUZ,BAJA CALIFORNIA SUR,Loreto,Loreto
